R0001,R0002,R0003,MYLAKE,ARPOND
0.020223048,0.018851381,0.019923749,0.051252847,0.049440121
1,1,1,1,1
0.008624535,0.012713722,0.007748124,0.041255378,0.095843614
1.009962825,1.209849481,1.132456032,0.433940774,0.434617574
0.772490706,0.54274441,0.495511007,0.861933688,0.957866768
0.072267658,0.144673389,0.075882425,0.352189319,0.312962612
1.362230483,1.248867456,1.183864223,0.335231587,0.468589865
0.473159851,0.400847581,0.359611364,0.186408504,0.252230025
0.499776952,0.404647085,0.412372402,0.1314857,0.161320934
0.253085502,0.428467047,0.282622064,0.803973678,0.74928829
0.789739777,0.513809733,0.489853647,0.523917995,0.701840957
0.039107807,0.04442496,0.069364162,0.088205518,0.111406339
0.400594796,0.540990794,0.600295167,0.862439889,0.603719871
0.999553903,0.849773491,0.596482597,0.464819033,0.885746821
0.533977695,0.696478153,0.761406961,0.61060491,0.630100588
0.098736059,0.114569633,0.17513221,0.15780815,0.248908711
0.035390335,0.051877831,0.061247079,0.048721843,0.142057316
0.510780669,0.78956598,0.761775919,0.412427234,0.651546783
0.867063197,0.81177846,0.719345714,0.648569982,0.50996394
0.086840149,0.153879877,0.053744927,0.199443179,0.248054659
0.810855019,0.765746018,0.73680974,0.837636042,0.623457962
0.480594796,0.486190267,0.532160866,0.703872437,0.423799582
0.580520446,0.665935993,0.648505719,0.784738041,0.714841526
0.373531599,0.330118369,0.272045259,0.409010377,0.294932625
1.110334572,0.969603975,0.985733612,0.483801569,0.499715316