NIP211-NIP211,STS986-STS986,MV1037-MV1037,MV1690-MV1690,GZQ186-GZQ186,UNK003-UNK003,CY1631-CY1631,FR1665-FR1665,SY1682-SY1682,AZQ175-AZQ175
0.022494888,0.020434897,0.015518312,0.018047843,0.018538713,0.019408358,0.018091243,0.021623477,0.020552701,0.01694291
1,1,1,1,1,1,1,1,1,1
0.007808143,0.005501703,0.838402648,0.007795814,0.004119714,0.008921584,0.012191924,1.138149991,0.009165394,0.0106814
0.974902398,0.999607021,1.913097455,0.028299872,0.930328365,0.896071373,1.023597273,1.041874035,0.01402583,1.110742787
1.762223462,1.031700288,0.025863853,1.836181119,0.910335636,0.940053216,0.991216571,0.012013043,0.917372587,0.88631062
0.973415133,0.965810846,0.018001241,0.008436566,0.837271295,0.938644545,0.997246985,0.00875236,0.009998611,0.009330878
1.056330173,0.020565889,0.752534658,1.518902179,1.756694535,1.824072625,0.022679601,0.012356273,0.019302875,0.022344997
2.487451199,0.025805606,0.013242293,0.441264417,0.013207319,0.007356394,0.009832197,0.009438819,0.006110262,0.005279312
1.041643428,0.018600996,0.012207738,0.47180692,0.011753302,0.016591016,0.00681699,0.002917453,0.006110262,0.004665439
0.94645845,0.105318313,1.4761018,0.051473729,0.890221738,1.009391141,0.237283692,0.99965677,1.007637828,1.1368938
0.066369214,0.105973277,0.033726464,0.398868005,1.525627045,0.366880576,0.247640273,0.010125279,0.680461047,0.19165132
0.010224949,0.00628766,0.022139458,0.00651431,0.036713922,0.011895445,0.011798637,0.006864596,0.012359395,0.110497238
0.890500093,1.767094577,0.64473412,0.561512174,0.08433297,0.842541869,1.867724174,0.813454608,0.936119983,0.9262124
0.063580591,0.928477862,0.359197186,2.163605297,0.92693566,0.25794334,0.026219192,1.048052171,0.028051659,0.968201351
0.063022867,1.757139114,0.925925926,0.504805639,0.157760814,0.913444984,0.255768222,0.061781363,0.026940703,0.311724985
0.02323852,0.18666492,0.0076557,0.362024776,0.103719859,0.007825951,0.448872575,0.014587266,0.033884183,0.015960712
0.014314928,0.009562484,0.009310987,0.004698847,0.004119714,0.005321647,0.025301521,0.018019564,0.022219136,0.010190301
0.072690091,1.873722819,1.682184978,1.88776164,0.172906822,0.959305056,0.022810697,0.013385962,0.027357311,0.017679558
0.844394869,0.021744826,0.041795986,0.011533533,0.696110505,0.772890906,1.051914001,0.922773297,0.970976253,0.948802947
3.167317345,0.045847524,0.02524312,0.03310551,0.031988368,0.014556269,0.007734662,0.006349751,0.005138175,0.003437692
0.127904815,0.206706838,0.548727498,0.749572832,0.119350539,0.102050399,1.94415312,1.652823065,0.122205249,0.18747698
0.086261387,0.212208541,0.607697083,1.60465613,0.114019145,0.150571294,2.042475092,1.785996224,0.879600056,0.303744629
1.47425172,0.888917998,0.580591765,1.008222982,0.740336847,0.76428236,0.978106974,0.868371375,0.915150674,0.853652548
0.015988102,0.016374116,0.023794744,1.874519436,0.097055616,0.017373611,0.023466177,0.044791488,0.024996528,0.073050952
0.08291504,0.832984019,1.082557418,0.258543358,0.706530958,0.837689779,0.95293655,0.853440879,0.134564644,0.182197667